1,84,0,84,0,3,3
10,17,0,17,0,17,17
100,53,117,170,0,14,14
101,80,44,124,26,1112,1138
102,25,991,1016,26,1112,1138
103,9,0,9,2,2,4
104,0,0,0,0,0,0
105,10,0,10,0,0,0
106,5,6,11,1,42,43
107,118,0,118,21,35,56
108,47,0,47,0,47,47
109,26,0,26,29,58,87
11,2134,1,2135,1,2134,2135
110,4,1,5,1,1,2
111,3,5,8,1,5,6
112,9,0,9,37,56,93
113,9,6,15,1,1,2
114,5,0,5,0,5,5
115,4,0,4,0,22,22
116,64,39,103,90,118,208
117,14,6,20,21,35,56
118,14,0,14,10,15,25
119,16,0,16,0,16,16
12,348,153,501,0,0,0
120,920,319,1239,1,1,2
121,14,0,14,0,9,9
122,0,0,0,0,0,0
123,10,0,10,21,25,46
124,40,0,40,3,4,7
125,8,0,8,44,65,109
126,102,0,102,37,68,105
127,0,0,0,0,0,0
128,2,1,3,0,35,35
129,0,22,22,11,6,17
13,39,1,40,5,29,34
130,5,0,5,0,5,5
131,1,1,2,6,2,8
132,3750,1,3751,0,0,0
133,2862,0,2862,1,1,2
134,0,0,0,1,5,6
135,25,6,31,0,29,29
136,0,0,0,0,0,0
137,14,0,14,21,10,31
138,0,0,0,1,384,385
139,2912,1,2913,96,68,164
14,3,1,4,17,4,21
140,0,0,0,0,0,0
15,2,0,2,0,3,3
16,4,0,4,0,0,0
17,127,0,127,0,128,128
18,9,0,9,1,18,19
19,8,0,8,0,3,3
2,0,0,0,1,4,5
20,11,0,11,53,16,69
21,3,10,13,0,0,0
22,4,0,4,13,2,15
23,34,0,34,3,7,10
24,23,0,23,7,20,27
25,69,6,75,5,69,74
26,0,0,0,1,1,2
27,16,0,16,0,16,16
28,0,0,0,0,3,3
29,1,0,1,0,11,11
3,0,0,0,1,1,2
30,1,0,1,0,11,11
31,0,0,0,0,192,192
32,2,2,4,0,8,8
33,4,0,4,0,4,4
34,20,0,20,10,12,22
35,16,0,16,0,0,0
36,184,36,220,18,23,41
37,5,0,5,1,3,4
38,0,0,0,0,0,0
39,6,0,6,0,6,6
4,3,0,3,0,3,3
40,0,0,0,0,0,0
41,3,0,3,0,3,3
42,61,0,61,1,2,3
43,46,0,46,1,346,347
44,13,1,14,0,0,0
45,581,74,655,0,552,552
46,9,0,9,0,9,9
47,29,0,29,0,29,29
48,2875,1,2876,3,1963,1966
49,16,0,16,6,33,39
5,0,0,0,0,14,14
50,0,0,0,0,0,0
51,81,0,81,1,108,109
52,35,1,36,1,37,38
53,581,74,655,0,552,552
54,294,1,295,7,81,88
55,9,0,9,7,6,13
56,66,0,66,1,1,2
57,10,0,10,30,24,54
58,52,1,53,14,7,21
59,168,1,169,1,384,385
6,20,0,20,0,0,0
60,23,33,56,4,3,7
61,1,0,1,0,1,1
62,50,0,50,1,1,2
63,10,57,67,40,77,117
64,0,0,0,0,0,0
65,0,0,0,0,0,0
66,10,3,13,6,13,19
67,2,5,7,0,4,4
68,0,0,0,4,47,51
69,4,1,5,3,5,8
7,81,0,81,1,108,109
70,7,0,7,97,50,147
71,34,13,47,1,2952,2953
72,5,0,5,0,5,5
73,2912,1,2913,19,10,29
74,38,1,39,1,38,39
75,0,0,0,0,3,3
76,0,0,0,1,1,2
77,11,3,14,46,118,164
78,14,0,14,0,17,17
79,11,0,11,0,0,0
8,7,0,7,0,7,7
80,34,1,35,1,34,35
81,26,0,26,26,76,102
82,8,0,8,0,9,9
83,0,3,3,0,39,39
84,17,0,17,1,1,2
85,6,0,6,1,5,6
86,57,0,57,0,66,66
87,2,1,3,15,2,17
88,18,0,18,17,20,37
89,13,6,19,0,145,145
9,11,0,11,0,0,0
90,35,0,35,10,9,19
91,33,34,67,0,238,238
92,39,0,39,1,1817,1818
93,4,0,4,12,2,14
94,4,0,4,114,173,287
95,6,0,6,1,5,6
96,3,7,10,8,5,13
97,17,0,17,0,17,17
98,3,1,4,42,17,59
99,7,2,9,0,0,0
