126;102;0;102;37;68;105;;B;;;;;
127;0;0;0;0;0;0;;=;;;;;
128;2;1;3;0;35;35;;B;;;;;
129;0;22;22;11;6;17;;A;;;;;
130;5;0;5;0;5;5;;=;;;;;
131;1;1;2;6;2;8;;B;;;;;
132;3750;1;3751;0;0;0;;A;;;;;
133;2862;0;2862;1;1;2;;A;;;;;
134;0;0;0;1;5;6;;B;;;;;
135;25;6;31;0;29;29;;A;;;;;
136;0;0;0;0;0;0;;=;;;;;
137;14;0;14;21;10;31;;B;;;;;
138;0;0;0;1;384;385;;B;;;;;
139;2912;1;2913;96;68;164;;A;;;;;
140;0;0;0;0;0;0;;=;;;;;
