0;0;0;0
1;2;1;1
0;0;0;2
2;3;0;1
1;1;0;0
3;4;0;2
1;2;1;1
0;7;0;1
9;32;2;5
1;1;0;0
6;6;2;2
1;6;1;2
0;4;0;0
1;3;0;3
15;33;2;4
0;20;0;2
0;1;0;0
0;7;0;5
0;9;0;2
0;3;0;0
1;3;0;2
7;23;2;5
0;1;1;3
0;1;0;1
0;70;0;3
1;1;1;2
7;82;0;3
0;43;0;3
17;60;0;3
6;19;9;30
0;16;0;3
0;0;0;1
1;9;1;3
0;3;0;2
0;0;0;0
0;0;0;0
0;0;0;0
0;2;0;0
0;3;0;0
0;2;0;0
6;8;0;1
0;0;1;2
5;5;2;14
0;13;0;2
1;10;1;14
0;3;1;6
1;24;0;0
1;3;0;0
0;0;0;0
0;2;0;0
0;3;0;22
1;9;0;3
3;4;0;0
0;2;0;2
1;10;0;14
0;29;0;0
1;1;4;21
0;3;1;1
1;1;0;0
8;12;2;5
2;7;0;1
0;4;1;1
1;1;0;0
2;7;0;1
0;1;0;0
2;3;0;1
0;0;1;10
1;21;1;16
0;1;0;0
0;0;0;0
0;0;0;0
2;5;0;0
0;0;4;19
1;8;2;6
0;0;0;14
0;0;0;0
1;3;0;0
0;4;0;0
0;0;0;0
0;5;0;0
6;13;0;0
0;0;0;0
0;0;0;16
0;0;0;2
1;32;2;9
0;0;0;0
0;0;0;9
2;14;1;6
4;24;0;0
1;9;0;0
3;24;0;0
3;8;1;6
0;0;0;0
1;1;0;0
0;0;0;0
0;0;0;0
0;0;0;16
2;3;0;1
0;2;0;2
0;2;0;21
0;0;0;0
1;3;0;3
0;0;1;10
1;4;0;14
