3	0	3	0	3	3
92	0	92	0	112	112
267	0	267	3	7	10
4	0	4	1	1	2
4	0	4	0	1	1
4	0	4	0	4	4
4	0	4	0	4	4
4	0	4	0	4	4
4	0	4	0	4	4
27	0	27	0	27	27
45	0	45	24	10	34
15	0	15	51	73	124
22	0	22	0	22	22
14	0	14	1	10	11
34	0	34	0	34	34
9	0	9	0	9	9
4	0	4	0	0	0
20	0	20	3	10	13
13	0	13	0	14	14
38	7	45	38	6	44
161	0	161	2	9	11
22	0	22	0	22	22
86	0	86	0	86	86
38	0	38	0	39	39
24	0	24	0	24	24
33	0	33	3	3	6
15	0	15	0	15	15
8	15	23	0	55	55
0	0	0	0	0	0
36	0	36	11	10	21
16	0	16	8	10	18
4	0	4	0	4	4
37	0	37	0	37	37
28	0	28	0	29	29
0	0	0	0	2	2
24	0	24	0	0	0
17	0	17	18	45	63
0	0	0	0	0	0
79	0	79	0	79	79
0	0	0	0	0	0
9	0	9	0	9	9
198	0	198	0	213	213
32	0	32	1	324	325
13	0	13	0	13	13
126	0	126	3	0	3
12	0	12	1	402	403
12	0	12	16	10	26
13	0	13	0	13	13
0	0	0	0	0	0
109	0	109	23	19	42
98	0	98	55	57	112
12	0	12	2	1	3
0	0	0	0	0	0
9	0	9	10	12	22
116	0	116	0	122	122
26	0	26	8	1	9
18	0	18	11	11	22
3	0	3	2	1	3
29	0	29	8	8	16
3	0	3	165	118	283
6	0	6	1	13	14
73	0	73	39	54	93
31	0	31	0	45	45
0	0	0	0	0	0
86	0	86	0	86	86
55	0	55	0	89	89
198	0	198	0	213	213
9	0	9	13	4	17
0	1	1	0	12	12
13	0	13	57	35	92
0	0	0	1	41	42
82	0	82	9	25	34
40	0	40	220	113	333
360	1	361	1	402	403
21	0	21	0	29	29
