100;2
107;117
117;40
12;102
123;6
124;2
126;28
136;4
139;1
140;73
141;140
158;48
162;4
173;33
174;11
18;44
201;1
202;1
203;1
204;1
205;1
206;1
207;248
208;4
209;137
21;83
210;3
211;110
212;12
213;12
214;3
215;2
216;12
217;10
218;4
219;13
220;13
221;19
222;4
223;48
224;48
225;1
226;80
227;91
228;7
229;7
230;91
231;22
232;83
233;27
234;29
235;2
236;5
237;2
238;70
239;116
240;38
241;47
242;48
243;2
244;5
245;127
246;18
247;117
248;5
249;16
250;5
251;31
252;31
253;4
254;27
255;25
256;1
257;226
258;222
259;70
260;70
261;12
262;79
263;1
264;83
265;1
266;1
267;25
268;18
269;98
270;54
30;23
33;126
34;102
38;8
41;63
5;23
56;23
58;158
69;6
75;7
76;7
78;77
82;20
84;16
87;15
88;33
99;22
