1;8;-2
10;27;-2
11;45;45
12;15;-2
13;22;-2
14;14;-2
15;34;-2
16;9;-2
17;4;4
18;20;13
19;14;-2
2;92;-2
20;0;-1
21;161;153
22;22;-2
23;87;-2
24;38;-2
25;24;-2
26;33;38
27;15;-2
28;31;-2
29;6;-2
3;267;-2
30;36;-2
31;16;14
32;4;-2
33;37;-2
34;28;-2
35;35;35
36;26;-2
37;17;9
38;5;-2
39;79;-2
4;4;4
40;9;-2
41;9;-2
42;198;-2
43;32;-2
44;13;-2
45;126;5
46;12;-2
47;12;18
48;15;-2
49;315;315
5;4;3
50;109;106
51;98;93
52;12;13
53;20;20
54;9;5
55;116;-2
56;26;33
57;18;-2
58;3;3
59;29;-2
6;4;-2
60;3;3
61;6;-2
62;73;54
63;31;-2
64;57;57
65;86;-2
66;55;-2
67;198;-2
68;9;3
69;12;-2
7;4;-2
70;13;-2
71;3;-2
72;82;76
73;40;43
74;0;-1
75;21;-2
8;4;-2
9;4;-2
