1;17;2
10;37;-2
11;69;3
12;69;-2
13;69;-2
14;95;3
15;57;-2
16;9;-2
17;34;34
18;35;-2
19;35;28
2;18;9
20;16;-2
21;26;-2
22;36;37
23;23;23
24;7;-2
25;15;-2
26;116;31
27;47;-2
28;58;19
29;50;-2
3;20;-2
30;130;138
31;63;69
32;96;97
33;6;-2
34;470;125
35;44;38
36;64;46
37;12;3
38;116;-2
39;87;91
4;67;-2
40;108;-2
41;80;82
42;151;-2
43;11;11
44;77;77
45;74;53
46;0;-1
47;74;53
48;25;-2
49;23;23
5;49;-2
50;29;16
51;19;-2
52;88;-2
53;8;-2
54;4;-2
55;28;-2
56;3;3
57;3;-2
58;8;-2
59;1;-1
6;52;-2
60;96;83
61;54;54
62;60;47
63;58;-2
64;96;96
65;44;-2
66;44;-2
67;87;91
68;95;83
69;45;-2
7;8;4
70;27;26
8;80;-2
9;156;106
